bundle_id,group,window_days,base_filter,preagg_applied,over350,over500,errors,p95,max,kinds
group_a_bundle_010,A,30,p.check_bank_routing_number = %s,False,0,0,15,206.85786401008954,287.94920799555257,"[('normal', 12), ('hot_check_bank_routing_number', 3)]"
group_a_bundle_006,A,7,p.check_bank_routing_number = %s,False,0,0,8,190.81344178994186,222.8646250150632,"[('normal', 5), ('hot_check_bank_routing_number', 3)]"
group_c_bundle_025,C,180,p.merchant_account_number = %s,True,0,0,4,216.36801639106122,236.2102920014877,"[('hot_merchant_account_number', 2), ('normal', 2)]"
group_b_bundle_018,B,180,d.input_ip = %s,True,0,0,3,150.18629376863828,193.32704102271236,"[('normal', 3)]"
group_c_bundle_018,C,30,d.true_ip = %s,False,1,0,1,135.7229940738762,452.59737499873154,"[('normal', 1)]"
group_c_bundle_021,C,30,p.merchant_account_number = %s,False,0,0,2,156.9035999913467,201.40812499448657,"[('hot_merchant_account_number', 2)]"
group_b_bundle_020,B,180,d.true_ip = %s,True,0,0,2,153.98059138387907,191.233541991096,"[('hot_true_ip', 1), ('normal', 1)]"
group_b_bundle_012,B,30,d.true_ip = %s,False,1,1,0,150.9586659958586,515.3430000063963,"[('hot_true_ip', 1)]"
group_a_bundle_008,A,7,p.merchant_account_number = %s,False,1,0,0,192.23216699901968,439.1094579768833,"[('hot_merchant_account_number', 1)]"
group_a_bundle_014,A,90,p.check_bank_routing_number = %s,False,1,0,0,256.36224998743273,393.6381670064293,"[('hot_check_bank_routing_number', 1)]"
group_b_bundle_008,B,7,d.true_ip = %s,False,1,0,0,147.03449999797158,380.9302080189809,"[('normal', 1)]"
group_c_bundle_011,C,7,d.true_ip = %s,False,1,0,0,137.32062501367182,359.156582999276,"[('normal', 1)]"
group_c_bundle_014,C,7,p.merchant_account_number = %s,False,0,0,1,159.129995854164,271.8914579891134,"[('hot_merchant_account_number', 1)]"
group_c_bundle_022,C,180,d.exact_id = %s,True,0,0,1,187.81098334875426,227.1900410123635,"[('normal', 1)]"
group_c_bundle_007,C,1,p.merchant_account_number = %s,False,0,0,1,158.8900479473523,194.32420801604167,"[('hot_merchant_account_number', 1)]"
