bundle_id,group,window_days,base_filter,preagg_applied,over350,over500,errors,p95,max,kinds
group_a_bundle_010,A,30,p.check_bank_routing_number = %s,False,12,5,11,432.3127937517711,661.7885830055457,"[('normal', 12)]"
group_c_bundle_025,C,180,p.merchant_account_number = %s,True,4,2,4,282.9653252090793,592.2512920224108,"[('normal', 4)]"
group_a_bundle_006,A,7,p.check_bank_routing_number = %s,False,8,1,0,346.8442920129746,505.46404099441133,"[('normal', 7), ('hot_check_bank_routing_number', 1)]"
group_a_bundle_014,A,90,p.check_bank_routing_number = %s,False,6,0,0,274.198749975767,487.71545800263993,"[('normal', 3), ('hot_check_bank_routing_number', 3)]"
group_b_bundle_006,B,7,d.input_ip = %s,False,4,0,0,188.7474580144044,472.89574999012984,"[('normal', 4)]"
group_b_bundle_020,B,180,d.true_ip = %s,True,2,0,2,195.17410890257452,432.5322920049075,"[('normal', 2)]"
group_b_bundle_018,B,180,d.input_ip = %s,True,1,0,3,173.83094190445263,431.06612502015196,"[('normal', 1)]"
group_b_bundle_010,B,30,d.input_ip = %s,False,1,0,3,168.23878302966483,407.95445899129845,"[('normal', 1)]"
group_c_bundle_016,C,30,d.input_ip = %s,False,2,0,2,157.3610918858321,401.14970799186267,"[('normal', 2)]"
group_b_bundle_008,B,7,d.true_ip = %s,False,2,1,1,173.74560654861858,516.6358330170624,"[('normal', 2)]"
group_c_bundle_022,C,180,d.exact_id = %s,True,2,0,1,261.7369559215149,474.1724169871304,"[('normal', 2)]"
group_c_bundle_024,C,180,p.card_holder_number_sha512 = %s,True,3,0,0,267.84345900523476,471.32308399886824,"[('normal', 3)]"
group_c_bundle_023,C,180,d.smart_id = %s,True,3,0,0,260.50758399651386,466.75754099851474,"[('normal', 3)]"
group_c_bundle_021,C,30,p.merchant_account_number = %s,False,1,0,2,185.03311598906294,450.09162501082756,"[('normal', 1)]"
group_c_bundle_018,C,30,d.true_ip = %s,False,1,0,2,155.06256279477384,403.5940419998951,"[('normal', 1)]"
group_b_bundle_012,B,30,d.true_ip = %s,False,1,0,2,167.34390869678458,398.1945830164477,"[('normal', 1)]"
group_a_bundle_001,A,1,p.card_holder_number_sha512 = %s,False,2,1,0,213.11979199526832,506.14237500121817,"[('normal', 2)]"
group_a_bundle_009,A,30,p.card_holder_number_sha512 = %s,False,2,0,0,212.47720898827538,498.3030000003055,"[('normal', 2)]"
group_a_bundle_012,A,30,p.merchant_account_number = %s,False,2,0,0,206.74250001320615,495.81854199641384,"[('normal', 2)]"
group_a_bundle_005,A,7,p.card_holder_number_sha512 = %s,False,2,0,0,217.4620839941781,495.43645899393596,"[('normal', 2)]"
group_a_bundle_004,A,1,p.merchant_account_number = %s,False,2,0,0,199.69075001426972,493.8395000062883,"[('normal', 2)]"
group_a_bundle_002,A,1,p.check_bank_routing_number = %s,False,2,0,0,204.45583300897852,487.4123749905266,"[('normal', 2)]"
group_a_bundle_003,A,1,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,2,0,0,189.66400000499561,478.45829199650325,"[('normal', 2)]"
group_a_bundle_008,A,7,p.merchant_account_number = %s,False,2,0,0,203.16120798815973,476.1169170087669,"[('normal', 2)]"
group_a_bundle_016,A,90,p.merchant_account_number = %s,False,2,0,0,189.6615000150632,468.74533299705945,"[('normal', 2)]"
group_a_bundle_007,A,7,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,2,0,0,189.34191699372604,465.33379098400474,"[('normal', 2)]"
group_c_bundle_007,C,1,p.merchant_account_number = %s,False,1,0,1,178.4806347539416,456.31583299837075,"[('normal', 1)]"
group_c_bundle_014,C,7,p.merchant_account_number = %s,False,1,0,1,178.485729150998,432.5852080073673,"[('normal', 1)]"
group_c_bundle_001,C,1,d.exact_id = %s,False,2,0,0,168.64725001505576,419.85008399933577,"[('hot_merchant_account_number', 1), ('normal', 1)]"
group_b_bundle_009,B,30,d.exact_id = %s,False,2,0,0,182.58045800030231,415.5202919791918,"[('normal', 2)]"
group_c_bundle_011,C,7,d.true_ip = %s,False,1,0,1,151.52250208484477,382.21149999299087,"[('normal', 1)]"
